categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Limpieza,Limpieza,juego hoteche de 60 tarugos y tornillos,6934097745442,5978.0,"$5.978,00",20260901
Limpieza,Limpieza,juego punta y bocallaves hoteche,6934097703305,30863.0,"$30.863,00",20260901
Limpieza,Limpieza,juego toalla y toallon arco iris,7794170051094,29326.0,"$29.326,00",20260901
Limpieza,Limpieza,juego toalla y toallon palette,7794170057188,20066.0,"$20.066,00",20260901
Limpieza,Limpieza,juego toalla y toallon palette,7794170052244,20066.0,"$20.066,00",20260901
Limpieza,Limpieza,jumbo mug azul,7891361874910,9368.0,"$9.368,00",20260901
Limpieza,Limpieza,jumbo mug negro,7891361320592,9368.0,"$9.368,00",20260901
Limpieza,Limpieza,jumbo mugg turquesa,7891361080304,9368.0,"$9.368,00",20260901
Limpieza,Limpieza,kit vasos seleccion,7798149301517,33503.76,"$33.503,76",20260901
Limpieza,Limpieza,lampara antimosquitos,6934097750101,67335.0,"$67.335,00",20260901
Limpieza,Limpieza,lata de yerba manzana verde,7792281710176,18268.84,"$18.268,84",20260901
Limpieza,Limpieza,lata para fideos color verde,7792281711432,19916.82,"$19.916,82",20260901
Limpieza,Limpieza,legumbrera,7798039415157,6290.0,"$6.290,00",20260901
Limpieza,Limpieza,limpiamamaderas,7798005433079,4222.0,"$4.222,00",20260901
Limpieza,Limpieza,linterna hoteche,6934097720593,15082.0,"$15.082,00",20260901
Limpieza,Limpieza,linterna recargable bicicleta,6934097735627,50752.0,"$50.752,00",20260901
Limpieza,Limpieza,linterna vincha hoteche,6934097723198,31388.0,"$31.388,00",20260901
Limpieza,Limpieza,llave ajustable 6 weilen,790757856882,14114.0,"$14.114,00",20260901
Limpieza,Limpieza,llave ajustable 8,790757856899,19322.0,"$19.322,00",20260901
Limpieza,Limpieza,llave ajustable plavatorio,6934097733500,27257.0,"$27.257,00",20260901
Limpieza,Limpieza,llave allen 9 piezas,6934097702278,14024.0,"$14.024,00",20260901
Limpieza,Limpieza,llave cruz 14 hoteche,6934097705958,30162.0,"$30.162,00",20260901
Limpieza,Limpieza,llaves allen hoteche juego 10 piezas,6934097706160,9238.0,"$9.238,00",20260901
Limpieza,Limpieza,llaves combinadas 8 piezas hoteche,6934097713045,48990.0,"$48.990,00",20260901
Limpieza,Limpieza,lonchera termica infantil,6935579174415,6445.7,"$6.445,70",20260901
Limpieza,Limpieza,manga repostera para decorar,7794297040216,4053.0,"$4.053,00",20260901
Limpieza,Limpieza,mantel rectangular 140 x 180,7797130000729,6797.0,"$6.797,00",20260901
Limpieza,Limpieza,mantel rectangular 140 x 220,7797130000736,8561.52,"$8.561,52",20260901
Limpieza,Limpieza,mantquera acrilico,7794297012398,5420.0,"$5.420,00",20260901
Limpieza,Limpieza,martillo galponero hoteche,6934097726748,21930.0,"$21.930,00",20260901
Limpieza,Limpieza,mate ecocuero,7798170120293,9899.0,"$9.899,00",20260901
Limpieza,Limpieza,mate plastico con saca yerba,7792579019226,3762.0,"$3.762,00",20260901
Limpieza,Limpieza,mate termico acero,4910238745054,13474.0,"$13.474,00",20260901
Limpieza,Limpieza,media polera bg 560,2700004167621,10760.43,"$10.760,43",20260901
Limpieza,Limpieza,medias fantasia,7797914000891,2250.0,"$2.250,00",20260901
Limpieza,Limpieza,medias rombos,7797914001140,2250.0,"$2.250,00",20260901
Limpieza,Limpieza,mixing bowl 0.5 x 14 cm,5010762103333,8338.0,"$8.338,00",20260901
Limpieza,Limpieza,mixing bowl 3 litros,3426470012331,15792.0,"$15.792,00",20260901
Limpieza,Limpieza,mixing bowl x 1 litro 16 cm,5010762103340,10092.0,"$10.092,00",20260901
Limpieza,Limpieza,mochila porta herramientas,6934097733913,92523.0,"$92.523,00",20260901
Limpieza,Limpieza,molde de silicona airfryer,6920250114019,7543.0,"$7.543,00",20260901
Limpieza,Limpieza,molde de silicona redondo con manija,6589579176155,12343.0,"$12.343,00",20260901
Limpieza,Limpieza,molde desmontable granit,7792281017619,21389.59,"$21.389,59",20260901
Limpieza,Limpieza,molde muffin x 12 granito carol,7792281200288,18569.51,"$18.569,51",20260901
Limpieza,Limpieza,molde muffins x 6,7834668321985,5892.0,"$5.892,00",20260901
Limpieza,Limpieza,molde papel cuadrado  airfryer x 40,6967969168780,5486.0,"$5.486,00",20260901
Limpieza,Limpieza,molde papel rectangular airfryer x 40,6967969168797,7543.0,"$7.543,00",20260901
Limpieza,Limpieza,molde papel redondo airfryer x 40,6967969168773,5074.0,"$5.074,00",20260901
Limpieza,Limpieza,molde para budin carol granito,7792281017510,11249.65,"$11.249,65",20260901
Limpieza,Limpieza,molde para hamburguesas,7795589002400,3601.0,"$3.601,00",20260901
Limpieza,Limpieza,molde para ravioles x 24 unidades,5110247,14373.0,"$14.373,00",20260901
Limpieza,Limpieza,molde para sorrentinos,4513636,5637.0,"$5.637,00",20260901
Limpieza,Limpieza,molde pastafrola,7790351158033,9209.0,"$9.209,00",20260901
Limpieza,Limpieza,molde pizza granit x unidad carol,7792281017756,12489.7,"$12.489,70",20260901
Limpieza,Limpieza,molde tarta oval x 25 cm,5010762102947,11326.0,"$11.326,00",20260901
Limpieza,Limpieza,molinillo bambu 16 cm blanco,7792281025065,24254.37,"$24.254,37",20260901
Limpieza,Limpieza,molinillo bambu 16 cm negro,7792281353205,24254.37,"$24.254,37",20260901
Limpieza,Limpieza,n6611 plato playo carine granit,883314668674,6046.0,"$6.046,00",20260901
Limpieza,Limpieza,nivel torpedo 9,6934097736563,4563.0,"$4.563,00",20260901
Limpieza,Limpieza,orejeras,2700004136986,10280.0,"$10.280,00",20260901
Limpieza,Limpieza,organizador plastico hoteche,6934097745404,25513.0,"$25.513,00",20260901
Limpieza,Limpieza,p2613 plato postre diwali turquio,883314734133,5523.0,"$5.523,00",20260901
Limpieza,Limpieza,paa?a?o secaplatos,58703060920,6844.0,"$6.844,00",20260901
Limpieza,Limpieza,pack x 3 soquetes,7797914099345,3780.0,"$3.780,00",20260901
Limpieza,Limpieza,pack x 3 soquetes,7797914101611,3750.0,"$3.750,00",20260901
Limpieza,Limpieza,pala jardinera hoteche,6934097725314,15651.0,"$15.651,00",20260901
Limpieza,Limpieza,palangana san remo chica hydrus,7896359002825,9472.0,"$9.472,00",20260901
Limpieza,Limpieza,palazzo 2 bolsillos elastizado 16,2700004138553,21159.43,"$21.159,43",20260901
Limpieza,Limpieza,palita para canelones chef,7798005438586,5438.0,"$5.438,00",20260901
Limpieza,Limpieza,palmeta,7794297010080,936.0,"$936,00",20260901
Limpieza,Limpieza,palo de amasar madera c,9504127,8298.0,"$8.298,00",20260901
Limpieza,Limpieza,palto postre cuadrado blanco roswell,7795513090640,1313.72,"$1.313,72",20260901
Limpieza,Limpieza,panera,6935888150094,5180.0,"$5.180,00",20260901
Limpieza,Limpieza,panquequera induccion 22 cm carol,7792281571227,35618.98,"$35.618,98",20260901
