ean,nombre,categoria,cat_principal,precio,fecha
7790580102517,bon o bon x270gr.aguila,Almacen,Almacen,6649.0,20260220
7790580119065,bon o bon x270gr.blanco,Almacen,Almacen,6719.0,20260220
7790580117771,bon o bon x270gr.chocolinas,Almacen,Almacen,6649.0,20260220
7790580146368,bon o bon x270gr.coco,Almacen,Almacen,6649.0,20260220
7790070432858,brownie exquisita x 425 gr.,Almacen,Almacen,4668.0,20260220
7790070432896,brownie exquisita x 750 gr bolsa,Almacen,Almacen,6892.0,20260220
7790645003025,caballa al natural caracas x 380 gr.,Almacen,Almacen,5404.0,20260220
7790645002059,caballa caracas x380gr.aceite,Almacen,Almacen,5404.0,20260220
7790580131876,cacao arcoa x180gr.,Almacen,Almacen,1582.0,20260220
7790580131883,cacao arcoa x360gr.,Almacen,Almacen,3145.0,20260220
7790150830406,cacao chocolino menos azucar x 300 gr.,Almacen,Almacen,4769.0,20260220
7790150830482,cacao chocolino x 800 gr.,Almacen,Almacen,7849.0,20260220
7790150830444,cacao en polvo chocolino x 180 gr.,Almacen,Almacen,1789.0,20260220
7790150830468,cacao en polvo chocolino x 360 gr.,Almacen,Almacen,3529.0,20260220
7790070433015,cacao en polvo exquisita x 150 gr.,Almacen,Almacen,1971.0,20260220
7613287149145,cacao nescao x 300 gr.,Almacen,Almacen,2881.0,20260220
8445290559975,cacao nesquik menos azucar x 300 gr.,Almacen,Almacen,5527.0,20260220
8445291121843,cacao nesquik x 150 gr.,Almacen,Almacen,1758.0,20260220
8445291121867,cacao nesquik x 180 gr.,Almacen,Almacen,2106.0,20260220
8445291121881,cacao nesquik x 360 gm original,Almacen,Almacen,3851.0,20260220
7790380023425,cacao toddy extremo x 800 gr.,Almacen,Almacen,7276.0,20260220
7790380023401,cacao toddy x180gr.original,Almacen,Almacen,1782.0,20260220
7794000008519,caldo de verduras knorr balance x 12 cubos,Almacen,Almacen,2019.0,20260220
7794000008274,caldo de verduras knorr cero sodio x 12 unid.,Almacen,Almacen,1919.0,20260220
7891000345528,caldo de verduras maggi x 12 unid.,Almacen,Almacen,1118.0,20260220
7794000008281,caldo knorr cero sodio sabor verdura x 6 unid.,Almacen,Almacen,1109.0,20260220
